state,season,crop,plot_area,avg_temp,total_rainfall,humidity,drought_index,soil_type,soil_texture,soil_ph,soil_organic_carbon,fertilizer_n,fertilizer_p,fertilizer_k,previous_crop,year,ndvi_mean,production,yield_t_ha
andhra pradesh,rabi,rice,2.01,28.05,1476.16,83.38,0.19,red,loamy,6.83,0.97,95.18,51.78,79.83,cotton,2016,0.77,40.56,20.16
andhra pradesh,kharif,rice,3.33,27.19,1618.98,72.07,0.17,laterite,loamy,6.09,0.79,127.93,46.5,76.44,maize,2015,0.71,67.95,20.38
maharashtra,summer,rice,3.38,26.68,1587.62,68.01,0.26,alluvial,loamy,6.46,0.99,84.45,41.47,45.35,maize,2016,0.84,71.51,21.18
andhra pradesh,rabi,rice,1.99,28.3,1425.94,81.99,0.22,laterite,sandy,6.54,0.98,87.95,66.86,60.81,cotton,2020,0.83,39.42,19.81
maharashtra,summer,rice,4.14,28.94,1453.55,73.41,0.22,red,clayey,6.77,0.79,123.21,79.22,64.32,wheat,2023,0.72,79.55,19.22
telangana,kharif,rice,2.19,28.12,1313.14,83.21,0.29,black,loamy,6.63,0.78,98.08,58.37,79.2,maize,2011,0.77,40.35,18.41
karnataka,kharif,rice,1.61,29.12,1464.57,67.56,0.19,red,silty,6.17,0.65,113.18,66.7,46.89,wheat,2012,0.68,29.58,18.4
maharashtra,summer,rice,3.76,27.44,1318.45,75.07,0.19,laterite,loamy,6.05,0.75,80.18,74.73,43.38,cotton,2022,0.68,68.43,18.19
maharashtra,summer,rice,3.88,28.02,1520.46,75.63,0.2,red,sandy,6.07,0.9,142.66,60.47,61.28,maize,2011,0.77,78.4,20.19
andhra pradesh,kharif,rice,2.29,25.54,1552.38,65.4,0.15,laterite,loamy,6.25,0.75,127.54,71.57,59.94,sugarcane,2024,0.71,45.69,19.97
maharashtra,summer,rice,4.6,28.4,1364.92,71.75,0.27,alluvial,clayey,6.73,0.75,122.4,49.49,44.07,sugarcane,2023,0.83,88.43,19.23
maharashtra,rabi,rice,1.45,27.14,1340.76,84.65,0.16,alluvial,clayey,6.48,0.76,118.97,62.86,51.2,sugarcane,2014,0.75,27.2,18.78
tamil nadu,rabi,rice,3.44,27.44,1475.54,67.3,0.21,red,sandy,6.35,0.7,113.68,61.3,42.07,wheat,2017,0.7,63.25,18.37
karnataka,summer,rice,2.65,28.76,1339.8,74.43,0.24,red,loamy,6.42,0.84,131.88,62.98,73.67,cotton,2018,0.81,50.04,18.9
telangana,kharif,rice,4.63,28.76,1408.94,77.68,0.18,black,silty,6.38,0.69,111.64,68.55,75.99,maize,2015,0.78,88.2,19.04
maharashtra,summer,rice,1.27,29.51,1167.36,75.64,0.25,red,silty,6.27,0.76,128.56,46.67,75.15,rice,2013,0.66,20.37,16.08
telangana,kharif,rice,3.86,28.48,1543.25,69.09,0.25,black,clayey,6.59,0.66,117.55,55.15,58.28,sugarcane,2017,0.83,76.49,19.83
karnataka,summer,rice,3.39,28.18,1717.44,65.24,0.18,black,clayey,6.68,0.91,103.98,49.09,56.94,wheat,2023,0.62,70.26,20.7
tamil nadu,summer,rice,4.68,28.76,1556.76,67.04,0.24,black,loamy,6.95,0.84,120.34,64.27,56.97,maize,2023,0.76,92.05,19.69
andhra pradesh,rabi,rice,1.22,27.87,1301.04,72.98,0.25,red,clayey,6.4,0.84,104.24,53.88,69.5,rice,2020,0.75,22.16,18.18
andhra pradesh,kharif,rice,1.85,28.47,1234.51,69.4,0.25,alluvial,silty,6.62,0.71,109.02,43.41,79.87,rice,2016,0.67,31.3,16.91
telangana,kharif,rice,1.76,28.15,1332.24,69.1,0.23,black,sandy,6.04,0.96,111.73,60.98,57.63,wheat,2023,0.71,33.92,19.24
karnataka,kharif,rice,2.08,26.82,1289.29,72.47,0.21,red,sandy,6.77,0.98,90.93,68.64,66.36,rice,2018,0.76,39.68,19.05
maharashtra,kharif,rice,1.95,27.27,1329.55,78.05,0.19,black,loamy,6.12,0.67,108.45,52.96,43.48,wheat,2016,0.75,36.26,18.57
maharashtra,summer,rice,2.34,28.69,1305.96,77.5,0.27,red,silty,6.99,0.96,138.15,53.81,70.95,rice,2011,0.77,44.37,18.93
telangana,kharif,rice,1.73,28.47,1363.3,74.42,0.15,alluvial,sandy,6.58,0.99,95.26,65.8,56.87,wheat,2019,0.76,34.44,19.93
tamil nadu,kharif,rice,2.99,28.3,1408.77,81.3,0.25,black,clayey,6.08,0.81,130.41,44.26,45.6,cotton,2018,0.78,57.45,19.2
telangana,rabi,rice,4.35,27.08,1491.14,76.47,0.13,red,loamy,6.49,0.8,85.8,64.13,49.81,maize,2020,0.79,87.59,20.12
tamil nadu,kharif,rice,3.65,27.08,1545.49,74.52,0.15,black,silty,7.12,0.83,117.79,46.48,73.66,rice,2023,0.68,73.61,20.14
andhra pradesh,kharif,rice,3.39,30.3,1351.99,79.1,0.13,alluvial,clayey,6.55,0.77,128.34,60.85,43.47,cotton,2017,0.69,62.42,18.4
andhra pradesh,kharif,rice,3.59,29.28,1340.55,83.07,0.24,black,sandy,6.83,0.99,83.09,63.53,79.97,wheat,2014,0.78,69.55,19.39
andhra pradesh,rabi,rice,2.69,27.72,1204.75,67.31,0.17,red,silty,6.95,0.68,96.1,44.82,43.08,maize,2020,0.77,48.49,18.05
tamil nadu,rabi,rice,2.28,29.26,1128.75,80.81,0.19,laterite,clayey,6.75,0.82,109.23,58.48,79.61,cotton,2016,0.71,38.59,16.96
andhra pradesh,summer,rice,1.37,26.81,1356.23,72.97,0.17,alluvial,clayey,6.4,0.71,100.79,74.11,68.62,maize,2018,0.88,27.27,19.95
maharashtra,rabi,rice,2.04,28.46,1416.85,80.96,0.15,alluvial,clayey,6.71,0.98,91.69,79.65,49.27,sugarcane,2022,0.74,40.09,19.69
andhra pradesh,kharif,rice,1.75,29.62,1516.71,69.41,0.2,red,silty,6.94,0.67,149.64,46.96,55.85,wheat,2011,0.67,32.36,18.53
telangana,summer,rice,3.37,27.17,1383.19,75.74,0.17,alluvial,silty,6.7,0.69,98.59,45.18,75.55,rice,2011,0.77,64.47,19.12
tamil nadu,kharif,rice,2.49,28.33,1428.59,73.17,0.3,laterite,loamy,6.31,0.63,149.4,42.46,75.32,maize,2012,0.78,45.99,18.46
andhra pradesh,summer,rice,4.19,27.51,1579.46,82.57,0.23,red,silty,6.79,0.71,129.59,73.48,67.9,wheat,2013,0.8,85.75,20.47
telangana,kharif,rice,1.64,28.65,1538.22,79.87,0.21,black,sandy,6.98,0.73,148.68,65.27,50.39,sugarcane,2017,0.74,32.06,19.51
karnataka,rabi,rice,4.01,27.78,1527.85,68.59,0.26,laterite,sandy,6.95,0.76,91.65,70.84,68.34,rice,2015,0.76,78.26,19.49
telangana,rabi,rice,2.29,28.13,1351.99,65.44,0.17,black,clayey,6.59,0.61,149.8,57.05,58.06,maize,2022,0.77,42.53,18.53
tamil nadu,kharif,rice,4.85,28.83,1508.01,82.36,0.16,red,silty,6.04,0.65,140.02,78.58,70.4,maize,2012,0.73,93.53,19.27
karnataka,rabi,rice,3.86,26.83,1288.34,82.36,0.24,alluvial,loamy,6.68,0.68,86.38,46.15,58.15,wheat,2013,0.8,72.6,18.81
tamil nadu,kharif,rice,1.9,28.51,1234.36,76.17,0.28,black,silty,6.19,0.7,110.33,79.37,45.98,maize,2011,0.74,33.42,17.57
karnataka,kharif,rice,3.9,29.62,1306.3,83.16,0.24,black,silty,6.9,0.98,80.68,53.06,60.71,rice,2018,0.81,73.81,18.94
telangana,rabi,rice,3.76,27.73,1404.76,76.35,0.19,red,silty,6.96,0.65,87.32,65.46,68.26,rice,2015,0.75,69.68,18.54
karnataka,rabi,rice,4.13,29.52,1547.59,77.51,0.19,black,clayey,6.73,0.98,111.66,65.74,61.06,wheat,2023,0.77,86.03,20.81
maharashtra,rabi,rice,1.73,27.35,1379.47,71.74,0.18,black,clayey,6.95,0.99,125.73,53.29,61.7,cotton,2012,0.73,33.88,19.6
tamil nadu,rabi,rice,1.7,27.24,1382.44,81.81,0.13,laterite,silty,7.15,0.68,82.81,74.68,63.15,sugarcane,2019,0.73,32.39,19.09
tamil nadu,summer,rice,1.84,27.89,1372.53,83.25,0.12,alluvial,sandy,6.75,0.84,134.32,56.21,64.07,wheat,2021,0.84,36.41,19.76
andhra pradesh,summer,rice,2.62,25.68,1423.06,66.95,0.19,alluvial,loamy,6.71,0.77,107.93,74.32,40.36,rice,2017,0.71,51.46,19.64
karnataka,rabi,rice,2.32,26.38,1488.47,73.84,0.16,alluvial,loamy,6.54,0.95,111.46,63.52,77.94,rice,2015,0.83,48.21,20.75
telangana,kharif,rice,4.47,29.22,1484.71,76.71,0.2,red,loamy,6.25,0.92,145.56,41.57,44.88,maize,2014,0.81,89.72,20.06
maharashtra,rabi,rice,2.29,29.72,1344.91,65.35,0.18,red,silty,7.17,0.87,117.26,45.03,45.31,sugarcane,2011,0.79,42.46,18.52
telangana,rabi,rice,3.77,26.95,1461.28,68.54,0.3,alluvial,clayey,7.01,0.95,140.82,62.82,41.22,rice,2023,0.72,73.44,19.48
andhra pradesh,kharif,rice,3.42,28.18,1436.5,68.19,0.24,alluvial,silty,6.38,0.74,132.67,43.62,51.55,cotton,2013,0.79,66.62,19.48
andhra pradesh,kharif,rice,2.27,28.69,1522.32,82.56,0.24,red,loamy,7.04,0.96,105.65,55.85,67.82,sugarcane,2022,0.74,44.65,19.68
andhra pradesh,summer,rice,3.67,26.45,1310.08,77.07,0.14,alluvial,clayey,6.74,0.63,146.6,73.89,76.57,maize,2019,0.73,67.13,18.28
tamil nadu,summer,rice,3.86,28.17,1236.93,79.94,0.17,alluvial,silty,6.63,0.82,144.89,42.41,77.38,cotton,2011,0.63,67.32,17.43
telangana,rabi,rice,3.32,28.39,1526.18,75.65,0.3,alluvial,loamy,6.11,0.97,108.95,44.88,47.25,sugarcane,2019,0.69,65.07,19.58
tamil nadu,rabi,rice,2.7,28.51,1345.97,83.36,0.17,red,sandy,6.1,0.67,80.18,65.52,60.61,sugarcane,2018,0.8,50.17,18.6
karnataka,rabi,rice,3.23,28.58,1515.23,80.4,0.18,laterite,sandy,6.31,0.96,139.58,66.86,72.38,cotton,2013,0.81,65.71,20.37
maharashtra,rabi,rice,3.14,26.87,1375.52,74.46,0.17,alluvial,clayey,6.21,0.95,124.24,42.34,45.67,cotton,2016,0.73,60.58,19.29
telangana,rabi,rice,1.51,27.2,1326.0,84.83,0.28,black,silty,6.12,0.88,99.19,43.18,43.43,rice,2013,0.83,28.76,19.0
telangana,summer,rice,1.27,26.99,1341.83,75.38,0.14,black,silty,6.96,0.63,102.7,53.32,66.78,sugarcane,2011,0.72,23.42,18.43
telangana,rabi,rice,4.02,26.05,1244.41,77.7,0.16,black,loamy,6.2,0.98,137.53,40.05,52.03,sugarcane,2012,0.72,76.25,18.97
karnataka,rabi,rice,1.36,27.68,1290.77,77.47,0.21,alluvial,clayey,6.91,0.81,88.24,49.09,53.67,rice,2014,0.81,25.54,18.83
maharashtra,summer,rice,4.49,26.78,1384.75,83.85,0.27,black,silty,6.19,0.71,139.6,48.34,77.22,wheat,2015,0.71,82.71,18.41
karnataka,rabi,rice,2.61,29.17,1356.14,66.62,0.23,laterite,clayey,6.21,0.72,137.57,45.3,74.48,sugarcane,2024,0.78,47.59,18.22
tamil nadu,rabi,rice,1.59,30.46,1531.31,72.97,0.17,laterite,loamy,6.44,0.8,96.28,43.2,71.07,sugarcane,2022,0.73,31.1,19.62
andhra pradesh,summer,rice,1.77,27.54,1472.58,76.29,0.26,red,loamy,6.25,0.75,89.96,44.86,52.13,cotton,2016,0.67,33.57,19.0
karnataka,rabi,rice,2.23,27.61,1390.07,77.3,0.21,red,clayey,6.75,0.93,89.15,75.46,57.99,maize,2012,0.76,43.27,19.45
tamil nadu,kharif,rice,2.66,26.2,1282.99,65.22,0.24,alluvial,loamy,6.58,0.91,138.4,65.17,47.95,maize,2022,0.78,50.21,18.84
telangana,rabi,rice,1.6,27.88,1439.18,70.32,0.24,laterite,sandy,6.15,0.8,106.31,55.78,58.38,maize,2019,0.73,29.94,18.75
telangana,summer,rice,1.15,29.04,1333.09,81.82,0.29,black,silty,7.08,0.7,95.89,75.58,58.02,maize,2012,0.72,20.86,18.08
karnataka,summer,rice,3.03,27.4,1339.43,65.71,0.25,laterite,sandy,6.47,0.64,145.96,71.35,54.19,wheat,2014,0.75,55.16,18.18
andhra pradesh,kharif,rice,4.6,28.19,1525.52,75.29,0.16,alluvial,clayey,6.94,0.63,113.48,75.83,52.89,sugarcane,2021,0.74,88.27,19.21
andhra pradesh,rabi,rice,1.63,26.99,1311.95,77.33,0.24,red,loamy,6.05,0.81,106.05,57.28,57.58,rice,2011,0.75,30.1,18.51
tamil nadu,rabi,rice,4.45,27.72,1377.87,81.32,0.24,alluvial,clayey,7.02,0.71,138.94,69.14,71.06,sugarcane,2020,0.77,82.67,18.6
telangana,summer,rice,3.74,29.12,1428.26,67.16,0.21,red,sandy,6.11,0.89,90.55,53.7,56.54,maize,2022,0.71,69.89,18.68
maharashtra,kharif,rice,1.64,29.44,1466.0,73.68,0.16,laterite,silty,6.67,0.95,93.58,75.19,66.3,rice,2019,0.76,32.91,20.02
telangana,rabi,rice,3.1,28.76,1476.95,75.77,0.28,laterite,loamy,7.02,0.75,80.77,69.98,70.35,sugarcane,2020,0.78,59.78,19.3
tamil nadu,rabi,rice,3.57,28.48,1463.42,72.71,0.03,laterite,sandy,6.94,0.65,80.23,64.78,54.22,rice,2022,0.76,69.89,19.56
telangana,rabi,rice,3.25,28.18,1364.23,76.6,0.31,black,sandy,6.67,0.63,98.89,73.0,59.93,cotton,2015,0.71,56.91,17.53
karnataka,summer,rice,3.94,28.85,1506.76,67.45,0.27,red,sandy,6.28,0.75,131.35,51.98,46.94,sugarcane,2013,0.75,75.13,19.06
tamil nadu,rabi,rice,3.35,27.65,1382.88,76.44,0.26,black,sandy,6.22,0.75,81.83,40.97,73.27,maize,2015,0.76,62.49,18.65
karnataka,rabi,rice,4.21,28.17,1210.4,68.72,0.19,red,sandy,6.55,0.94,114.75,57.47,69.18,rice,2015,0.8,77.57,18.42
karnataka,summer,rice,2.13,27.54,1394.84,65.27,0.24,red,sandy,6.05,0.79,143.44,49.98,50.88,wheat,2018,0.73,40.0,18.77
tamil nadu,rabi,rice,4.6,27.99,1347.39,71.95,0.14,black,silty,6.03,0.76,135.14,64.98,59.78,maize,2011,0.76,87.09,18.94
andhra pradesh,rabi,rice,4.87,28.45,1408.73,83.94,0.17,alluvial,silty,6.22,0.72,109.26,43.55,67.35,rice,2010,0.71,90.05,18.49
andhra pradesh,rabi,rice,4.39,25.72,1501.21,69.52,0.27,black,clayey,6.51,0.85,140.34,58.41,69.97,sugarcane,2017,0.76,87.76,20.0
telangana,summer,rice,2.36,27.7,1311.6,74.95,0.2,laterite,clayey,7.05,0.92,132.79,40.72,45.05,sugarcane,2021,0.76,44.74,18.97
andhra pradesh,summer,rice,2.13,28.38,1558.26,71.87,0.3,black,sandy,6.47,0.64,134.29,78.58,48.15,wheat,2017,0.84,41.52,19.5
telangana,rabi,rice,4.66,28.92,1520.77,72.92,0.29,laterite,clayey,6.64,0.92,102.17,74.29,76.25,wheat,2020,0.72,91.51,19.64
andhra pradesh,summer,rice,3.46,27.48,1345.35,73.81,0.24,alluvial,sandy,6.1,0.66,88.57,69.01,52.92,sugarcane,2015,0.76,63.54,18.36
telangana,rabi,rice,2.35,28.39,1424.12,84.47,0.17,red,silty,6.36,0.75,102.0,58.85,72.87,sugarcane,2018,0.71,44.53,18.97
andhra pradesh,summer,rice,4.3,25.76,1390.88,79.24,0.25,red,clayey,6.12,0.67,132.42,66.05,64.84,rice,2014,0.73,79.53,18.48
karnataka,kharif,rice,3.73,28.43,1358.93,65.08,0.18,laterite,sandy,6.2,0.73,99.55,65.72,67.77,rice,2024,0.77,70.02,18.79
maharashtra,summer,rice,4.15,27.32,1299.97,80.32,0.21,red,sandy,6.8,0.95,87.77,57.88,58.41,sugarcane,2014,0.78,79.74,19.2
maharashtra,rabi,rice,2.12,25.83,1375.87,83.36,0.17,red,sandy,7.03,0.9,132.78,72.2,40.72,rice,2020,0.79,42.11,19.86
karnataka,kharif,rice,1.27,30.23,1456.94,67.4,0.3,black,sandy,6.32,0.69,85.2,49.05,69.21,rice,2013,0.71,23.03,18.08
telangana,kharif,rice,2.72,27.64,1342.0,70.71,0.23,red,loamy,6.32,0.94,84.45,73.25,63.96,rice,2014,0.79,53.62,19.74
telangana,kharif,rice,2.27,28.5,1497.52,73.61,0.25,black,silty,6.52,0.81,146.37,57.81,71.55,cotton,2013,0.76,44.31,19.54
andhra pradesh,kharif,rice,2.09,27.19,1537.37,70.25,0.24,laterite,sandy,6.57,0.99,108.49,75.66,40.12,maize,2021,0.77,42.55,20.4
andhra pradesh,kharif,rice,3.49,28.21,1480.66,74.46,0.12,alluvial,clayey,6.56,0.78,139.79,41.98,73.33,sugarcane,2021,0.74,67.88,19.45
andhra pradesh,kharif,rice,2.11,27.69,1136.86,65.89,0.13,alluvial,silty,6.98,0.76,117.21,75.19,62.99,maize,2020,0.66,36.07,17.08
karnataka,rabi,rice,2.03,27.41,1393.59,78.42,0.16,alluvial,silty,6.81,0.95,140.4,40.08,68.7,rice,2024,0.82,41.38,20.36
andhra pradesh,kharif,rice,3.39,27.62,1302.1,66.85,0.25,laterite,clayey,6.66,0.87,102.48,69.99,56.51,maize,2018,0.78,63.61,18.79
tamil nadu,rabi,rice,1.62,28.31,1480.9,67.31,0.33,red,silty,6.21,0.66,149.39,72.8,67.8,sugarcane,2012,0.75,30.45,18.83
karnataka,kharif,rice,2.87,27.16,1476.18,69.32,0.24,black,sandy,6.98,0.92,110.1,66.92,51.02,maize,2015,0.74,56.68,19.77
andhra pradesh,rabi,rice,2.72,29.43,1373.42,83.33,0.22,laterite,silty,6.38,0.94,128.19,54.98,46.67,maize,2016,0.78,51.21,18.8
andhra pradesh,kharif,rice,1.29,27.04,1517.12,71.81,0.2,black,silty,6.49,0.85,122.4,54.58,48.72,sugarcane,2015,0.73,25.6,19.89
telangana,rabi,rice,4.86,27.54,1589.14,75.11,0.14,red,loamy,6.46,0.61,112.1,51.57,76.0,maize,2014,0.75,95.58,19.68
karnataka,kharif,rice,2.15,27.91,1363.82,84.68,0.21,alluvial,silty,7.15,0.93,103.83,61.66,46.17,rice,2022,0.76,41.87,19.44
karnataka,summer,rice,1.78,28.25,1557.28,70.19,0.26,red,silty,6.07,0.72,104.31,63.22,45.57,cotton,2022,0.74,34.07,19.16
karnataka,kharif,rice,1.81,27.79,1313.5,77.41,0.21,alluvial,loamy,6.47,0.83,118.01,49.11,78.56,maize,2011,0.87,35.14,19.47
karnataka,rabi,rice,4.51,29.77,1426.59,70.52,0.21,red,sandy,7.13,0.92,106.27,51.43,48.13,cotton,2020,0.73,86.14,19.11
tamil nadu,summer,rice,3.41,27.78,1282.74,73.87,0.23,laterite,sandy,6.71,0.78,87.65,74.16,57.57,rice,2010,0.78,63.0,18.48
telangana,rabi,rice,2.91,29.0,1386.47,65.38,0.21,alluvial,silty,6.83,0.97,137.39,53.34,69.32,rice,2023,0.87,58.68,20.18
andhra pradesh,summer,rice,4.01,28.95,1510.12,67.86,0.24,alluvial,silty,6.92,0.9,129.0,44.18,55.96,wheat,2023,0.78,80.15,19.97
andhra pradesh,summer,rice,1.02,26.87,1496.19,78.96,0.24,black,clayey,6.12,0.83,96.96,59.13,45.81,wheat,2022,0.86,20.94,20.44
tamil nadu,summer,rice,2.06,26.9,1479.29,68.05,0.19,alluvial,loamy,6.03,0.72,124.83,79.16,64.14,maize,2012,0.78,41.08,19.89
karnataka,rabi,rice,3.5,28.34,1314.53,76.72,0.25,laterite,loamy,6.09,0.78,136.28,62.1,60.81,maize,2020,0.75,63.01,18.01
andhra pradesh,summer,rice,1.22,27.26,1478.22,77.59,0.11,alluvial,clayey,6.9,0.65,134.81,68.6,63.74,rice,2016,0.79,24.13,19.82
karnataka,rabi,rice,4.31,30.44,1303.29,83.62,0.19,red,sandy,6.16,0.63,110.37,76.4,55.09,sugarcane,2012,0.77,77.51,18.0
tamil nadu,summer,rice,1.02,28.27,1418.96,79.08,0.08,alluvial,loamy,6.2,0.85,147.62,70.44,78.03,rice,2023,0.72,19.91,19.57
andhra pradesh,summer,rice,2.9,26.26,1381.47,82.32,0.15,alluvial,loamy,6.13,0.75,109.16,72.89,74.01,rice,2018,0.75,56.65,19.51
karnataka,rabi,rice,2.58,28.39,1463.08,65.72,0.26,red,silty,7.12,0.9,148.22,42.09,67.29,rice,2013,0.78,50.93,19.75
telangana,summer,rice,1.97,28.52,1500.21,78.76,0.27,alluvial,sandy,7.09,0.64,108.3,61.24,63.81,maize,2020,0.76,37.32,18.97
telangana,summer,rice,4.43,29.41,1481.31,67.63,0.12,red,clayey,6.69,0.69,105.74,47.27,57.42,maize,2018,0.72,84.58,19.1
andhra pradesh,kharif,rice,3.59,29.55,1410.19,71.0,0.13,black,sandy,7.17,0.6,101.2,42.63,49.13,wheat,2011,0.69,65.39,18.24
telangana,summer,rice,4.14,29.67,1424.4,83.85,0.17,red,silty,7.19,0.98,85.29,54.63,49.02,sugarcane,2016,0.74,81.13,19.59
andhra pradesh,summer,rice,3.54,27.01,1433.88,81.22,0.27,laterite,clayey,6.47,0.66,100.34,58.8,75.61,rice,2023,0.77,65.84,18.58
telangana,rabi,rice,3.72,26.91,1484.86,75.01,0.2,black,clayey,6.09,0.7,110.3,41.76,46.63,maize,2017,0.74,72.42,19.48
karnataka,summer,rice,3.37,28.37,1444.79,73.74,0.22,alluvial,sandy,6.09,0.7,104.85,67.93,55.81,wheat,2011,0.75,63.96,18.96
telangana,rabi,rice,3.67,27.36,1404.14,77.81,0.29,alluvial,clayey,6.2,0.7,122.21,73.42,71.38,sugarcane,2021,0.77,68.25,18.62
tamil nadu,kharif,rice,1.38,26.73,1462.86,79.58,0.15,black,silty,6.51,0.94,100.22,55.91,76.78,cotton,2010,0.72,27.69,20.04
karnataka,kharif,rice,2.43,26.66,1351.34,76.54,0.21,laterite,loamy,6.95,0.98,105.1,66.27,49.62,wheat,2019,0.67,46.14,19.0
telangana,summer,rice,3.33,28.03,1247.37,84.01,0.19,red,loamy,6.52,0.71,104.71,75.76,77.86,maize,2014,0.76,60.14,18.08
karnataka,rabi,rice,2.18,28.66,1663.42,70.11,0.21,alluvial,sandy,6.71,0.68,84.83,77.63,60.28,cotton,2024,0.78,44.77,20.51
tamil nadu,kharif,rice,1.61,28.4,1443.67,78.09,0.15,red,clayey,7.05,0.91,118.27,61.28,63.62,sugarcane,2015,0.81,31.82,19.81
karnataka,rabi,rice,4.53,29.37,1431.97,73.75,0.17,red,sandy,6.06,0.6,124.84,56.64,70.36,wheat,2011,0.71,82.44,18.19
maharashtra,summer,rice,1.88,27.08,1314.61,73.12,0.16,red,clayey,6.91,1.0,129.65,46.69,71.23,rice,2010,0.73,35.94,19.1
karnataka,kharif,rice,3.06,28.65,1414.2,67.05,0.25,alluvial,sandy,6.61,0.9,137.93,67.89,68.57,cotton,2015,0.67,56.49,18.49
karnataka,summer,rice,1.78,28.5,1423.01,81.14,0.22,alluvial,sandy,6.41,0.71,118.45,52.48,59.3,sugarcane,2013,0.78,33.92,19.05
